filepaths,labels,data set
train/BIRD OF PARADISE/050.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/051.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/052.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/053.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/054.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/055.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/056.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/057.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/058.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/059.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/060.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/061.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/062.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/063.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/064.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/065.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/066.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/067.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/068.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/069.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/070.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/071.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/072.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/073.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/074.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/075.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/076.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/077.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/078.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/079.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/080.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/081.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/082.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/083.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/084.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/085.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/086.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/087.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/088.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/089.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/090.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/091.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/092.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/093.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/094.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/095.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/096.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/097.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/098.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/099.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/100.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/101.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/102.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/103.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/104.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/105.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/106.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/107.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/108.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/109.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/110.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/111.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/112.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/113.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/114.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/115.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/116.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/117.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/118.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/119.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/120.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/121.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/122.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/123.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/124.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/125.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/126.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/127.jpg,BIRD OF PARADISE,train
train/BIRD OF PARADISE/128.jpg,BIRD OF PARADISE,train
train/BLACK & YELLOW bROADBILL/001.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/002.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/003.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/004.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/005.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/006.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/007.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/008.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/009.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/010.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/011.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/012.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/013.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/014.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/015.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/016.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/017.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/018.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/019.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/020.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/021.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/022.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/023.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/024.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/025.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/026.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/027.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/028.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/029.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/030.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/031.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/032.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/033.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/034.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/035.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/036.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/037.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/038.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/039.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/040.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/041.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/042.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/043.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/044.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/045.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/046.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/047.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/048.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/049.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/050.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/051.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/052.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/053.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/054.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/055.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/056.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/057.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/058.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/059.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/060.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/061.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/062.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/063.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/064.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/065.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/066.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/067.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/068.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/069.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/070.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/071.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/072.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/073.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/074.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/075.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/076.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/077.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/078.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/079.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/080.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/081.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/082.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/083.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/084.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/085.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/086.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/087.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/088.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/089.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/090.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/091.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/092.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/093.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/094.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/095.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/096.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/097.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/098.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/099.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/100.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/101.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/102.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/103.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/104.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/105.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/106.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/107.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/108.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/109.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/110.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/111.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/112.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/113.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/114.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/115.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/116.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/117.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/118.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/119.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/120.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/121.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/122.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/123.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/124.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/125.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/126.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/127.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/128.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/129.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/130.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/131.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/132.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/133.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/134.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/135.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/136.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/137.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/138.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/139.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/140.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/141.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK & YELLOW bROADBILL/142.jpg,BLACK & YELLOW bROADBILL,train
train/BLACK FRANCOLIN/001.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/002.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/003.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/004.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/005.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/006.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/007.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/008.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/009.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/010.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/011.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/012.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/013.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/014.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/015.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/016.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/017.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/018.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/019.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/020.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/021.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/022.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/023.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/024.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/025.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/026.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/027.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/028.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/029.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/030.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/031.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/035.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/036.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/037.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/038.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/039.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/040.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/041.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/042.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/043.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/044.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/045.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/046.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/047.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/048.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/049.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/050.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/051.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/052.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/053.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/054.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/055.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/056.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/057.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/058.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/059.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/060.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/061.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/062.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/063.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/064.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/065.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/066.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/067.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/068.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/069.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/070.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/071.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/072.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/073.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/074.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/075.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/076.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/077.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/078.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/079.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/080.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/081.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/082.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/083.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/084.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/085.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/086.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/087.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/088.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/089.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/090.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/091.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/092.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/093.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/094.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/095.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/096.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/097.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/098.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/099.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/100.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/101.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/102.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/103.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/104.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/105.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/106.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/107.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/108.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/109.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/110.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/111.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/112.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/113.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/114.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/115.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/116.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/117.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/118.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/119.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/120.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/121.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/122.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/123.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/124.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/125.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/126.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/127.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/128.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/129.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/130.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/131.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/32.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/33.jpg,BLACK FRANCOLIN,train
train/BLACK FRANCOLIN/34.jpg,BLACK FRANCOLIN,train
train/BLACK SKIMMER/001.jpg,BLACK SKIMMER,train
train/BLACK SKIMMER/002.jpg,BLACK SKIMMER,train
train/BLACK SKIMMER/003.jpg,BLACK SKIMMER,train
train/BLACK SKIMMER/004.jpg,BLACK SKIMMER,train
train/BLACK SKIMMER/005.jpg,BLACK SKIMMER,train
train/BLACK SKIMMER/006.jpg,BLACK SKIMMER,train
train/BLACK SKIMMER/007.jpg,BLACK SKIMMER,train
train/BLACK SKIMMER/008.jpg,BLACK SKIMMER,train
train/BLACK SKIMMER/009.jpg,BLACK SKIMMER,train
train/BLACK SKIMMER/010.jpg,BLACK SKIMMER,train
